STT,Lx,Qx,Ly,Qy,Lz,Qz,Rx,Ry,Rz,STATUS
1,9.875e-05,0.20,9.663e-05,0.38,1.075e-04,0.21,2.34,2.89,4.22,WARNING
2,9.542e-05,0.20,1.091e-04,0.54,8.881e-05,0.56,3.94,4.61,4.75,FAIL
3,8.590e-05,0.19,9.864e-05,0.13,1.104e-04,0.10,2.46,4.83,1.89,FAIL
4,9.487e-05,0.17,9.760e-05,0.54,9.902e-05,0.20,2.38,0.51,4.68,PASS
5,1.113e-04,0.40,1.067e-04,0.47,9.631e-05,0.30,0.66,3.09,3.12,FAIL
6,8.635e-05,0.41,1.123e-04,0.24,1.090e-04,0.35,3.92,4.59,4.80,FAIL
7,1.087e-04,0.15,9.488e-05,0.30,9.654e-05,0.48,4.11,1.90,2.20,WARNING
8,1.109e-04,0.60,1.027e-04,0.13,1.148e-04,0.57,4.37,3.71,2.74,FAIL
9,9.257e-05,0.55,1.064e-04,0.49,9.447e-05,0.11,2.35,2.59,3.91,WARNING
10,9.134e-05,0.12,8.686e-05,0.46,1.050e-04,0.23,2.75,1.78,3.11,FAIL
11,1.068e-04,0.18,1.120e-04,0.26,9.219e-05,0.43,1.54,0.94,2.50,FAIL
12,8.527e-05,0.20,8.646e-05,0.34,1.022e-04,0.30,4.71,4.15,3.94,FAIL
13,1.081e-04,0.29,9.498e-05,0.11,1.091e-04,0.20,4.42,4.43,0.65,WARNING
14,9.007e-05,0.48,9.719e-05,0.22,9.579e-05,0.48,4.28,2.04,1.36,WARNING
15,8.902e-05,0.33,1.141e-04,0.55,9.777e-05,0.41,2.48,3.04,2.55,FAIL
16,1.145e-04,0.53,9.634e-05,0.58,1.079e-04,0.50,0.55,4.81,2.03,FAIL
17,1.033e-04,0.50,9.751e-05,0.27,9.210e-05,0.31,4.53,3.41,1.61,WARNING
18,1.004e-04,0.17,9.817e-05,0.44,8.652e-05,0.37,3.08,2.99,4.46,FAIL
19,1.093e-04,0.31,1.038e-04,0.23,9.943e-05,0.14,4.39,2.52,4.62,WARNING
20,1.064e-04,0.14,9.987e-05,0.20,1.024e-04,0.26,2.35,2.94,3.66,PASS
21,9.513e-05,0.15,1.137e-04,0.50,1.039e-04,0.12,3.34,1.77,4.48,FAIL
22,9.214e-05,0.13,8.594e-05,0.13,9.009e-05,0.50,2.79,3.72,3.90,FAIL
23,9.535e-05,0.18,8.516e-05,0.28,1.035e-04,0.47,0.87,3.10,4.88,FAIL
24,9.314e-05,0.52,1.004e-04,0.23,9.594e-05,0.30,1.04,2.06,3.86,PASS
25,9.365e-05,0.25,9.802e-05,0.46,1.030e-04,0.30,4.72,4.54,4.27,PASS
26,9.886e-05,0.50,8.714e-05,0.49,8.583e-05,0.24,2.78,4.48,2.42,FAIL
27,1.150e-04,0.15,1.118e-04,0.22,1.036e-04,0.12,3.85,3.15,0.76,FAIL
28,9.837e-05,0.15,9.456e-05,0.56,1.102e-04,0.30,4.94,2.47,4.09,FAIL
29,1.116e-04,0.15,1.115e-04,0.50,1.140e-04,0.23,4.13,3.58,1.02,FAIL
30,1.027e-04,0.45,9.561e-05,0.26,1.067e-04,0.47,0.76,3.74,3.52,PASS
31,9.213e-05,0.30,1.052e-04,0.15,1.098e-04,0.53,2.08,3.77,1.02,WARNING
32,1.094e-04,0.59,1.041e-04,0.18,1.132e-04,0.14,0.71,0.50,2.92,FAIL
33,1.122e-04,0.49,1.042e-04,0.54,8.672e-05,0.55,2.83,2.61,2.85,FAIL
34,1.000e-04,0.30,9.283e-05,0.43,1.038e-04,0.21,4.40,1.02,4.44,WARNING
35,1.038e-04,0.46,8.806e-05,0.24,1.064e-04,0.31,2.76,4.43,2.36,FAIL
36,1.033e-04,0.29,1.038e-04,0.15,9.026e-05,0.28,2.39,1.67,1.34,WARNING
37,1.060e-04,0.29,8.862e-05,0.46,8.934e-05,0.37,1.50,3.75,2.20,FAIL
38,1.139e-04,0.44,9.946e-05,0.55,8.638e-05,0.30,3.49,4.38,4.40,FAIL
39,1.088e-04,0.11,1.033e-04,0.50,8.547e-05,0.13,2.41,3.40,3.35,FAIL
40,1.067e-04,0.13,9.507e-05,0.52,1.150e-04,0.26,3.70,3.78,4.65,FAIL
